"image","xmin","ymin","xmax","ymax","label"
"ajnzerica-1_row0.png",129,0,190,239,"recognized"
"ajnzerica-1_row0.png",199,0,257,239,"recognized"
"ajnzerica-1_row0.png",273,0,310,239,"recognized"
"ajnzerica-1_row0.png",343,0,382,239,"not_recognized"
"ajnzerica-1_row0.png",395,0,434,239,"not_recognized"
"ajnzerica-1_row0.png",459,0,498,239,"not_recognized"
"ajnzerica-1_row0.png",516,0,554,239,"recognized"
"ajnzerica-1_row0.png",551,0,590,239,"not_recognized"
"ajnzerica-1_row0.png",609,0,647,239,"not_recognized"
"ajnzerica-1_row0.png",665,0,704,239,"not_recognized"
"ajnzerica-1_row0.png",722,0,761,239,"not_recognized"
"ajnzerica-1_row0.png",769,0,807,239,"recognized"
"ajnzerica-1_row0.png",804,0,843,239,"not_recognized"
"ajnzerica-1_row0.png",857,0,896,239,"not_recognized"
"ajnzerica-1_row0.png",920,0,959,239,"not_recognized"
"ajnzerica-1_row0.png",975,0,1019,239,"recognized"
"ajnzerica-1_row0.png",1013,0,1052,239,"not_recognized"
"ajnzerica-1_row0.png",1069,0,1107,239,"not_recognized"
"ajnzerica-1_row0.png",1105,0,1144,239,"not_recognized"
"ajnzerica-1_row0.png",1142,0,1180,239,"recognized"
"ajnzerica-1_row0.png",1177,0,1216,239,"not_recognized"
"ajnzerica-1_row0.png",1230,0,1269,239,"not_recognized"
"ajnzerica-1_row0.png",1292,0,1338,239,"not_recognized"
"ajnzerica-1_row0.png",1351,0,1389,239,"recognized"
"ajnzerica-1_row0.png",1386,0,1424,239,"not_recognized"
"ajnzerica-1_row0.png",1435,0,1473,239,"not_recognized"
"ajnzerica-1_row0.png",1483,0,1521,239,"not_recognized"
"ajnzerica-1_row0.png",1532,0,1571,239,"not_recognized"
"ajnzerica-1_row0.png",1575,0,1619,239,"recognized"
"ajnzerica-1_row0.png",1611,0,1657,239,"not_recognized"
"ajnzerica-1_row0.png",1665,0,1704,239,"not_recognized"
"ajnzerica-1_row0.png",1729,0,1768,239,"not_recognized"
"ajnzerica-1_row0.png",1786,0,1824,239,"recognized"
"ajnzerica-1_row0.png",1821,0,1860,239,"not_recognized"
"ajnzerica-1_row0.png",1879,0,1917,239,"not_recognized"
"ajnzerica-1_row0.png",1912,0,1958,239,"not_recognized"
"ajnzerica-1_row0.png",1948,0,1992,239,"recognized"
"ajnzerica-1_row0.png",1986,0,2025,239,"not_recognized"
"ajnzerica-1_row0.png",2039,0,2078,239,"not_recognized"
"ajnzerica-1_row0.png",2102,0,2141,239,"not_recognized"
"ajnzerica-1_row0.png",2157,0,2201,239,"recognized"
"ajnzerica-1_row0.png",2195,0,2234,239,"not_recognized"
"ajnzerica-1_row0.png",2252,0,2290,239,"not_recognized"
"ajnzerica-1_row0.png",2308,0,2347,239,"not_recognized"
"ajnzerica-1_row0.png",2366,0,2404,239,"not_recognized"
"ajnzerica-1_row0.png",2405,0,2435,239,"recognized"
"ajnzerica-1_row0_minus_10x.png",139,0,200,239,"recognized"
"ajnzerica-1_row0_minus_10x.png",209,0,267,239,"recognized"
"ajnzerica-1_row0_minus_10x.png",283,0,320,239,"recognized"
"ajnzerica-1_row0_minus_10x.png",353,0,392,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",405,0,444,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",469,0,508,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",526,0,564,239,"recognized"
"ajnzerica-1_row0_minus_10x.png",561,0,600,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",619,0,657,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",675,0,714,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",732,0,771,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",779,0,817,239,"recognized"
"ajnzerica-1_row0_minus_10x.png",814,0,853,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",867,0,906,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",930,0,969,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",985,0,1029,239,"recognized"
"ajnzerica-1_row0_minus_10x.png",1023,0,1062,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",1079,0,1117,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",1115,0,1154,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",1152,0,1190,239,"recognized"
"ajnzerica-1_row0_minus_10x.png",1187,0,1226,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",1240,0,1279,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",1302,0,1348,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",1361,0,1399,239,"recognized"
"ajnzerica-1_row0_minus_10x.png",1396,0,1434,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",1445,0,1483,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",1493,0,1531,239,"not_recognized"
"ajnzerica-1_row0_minus_10x.png",1542,0,1581,239,"not_recognized"
